No. tar.,No.,Tema, ,Opción A,Opción B,Opción C
,,,,,,
T043,2,Historia Universal,"Es autor de la Declaración de los Derechos del Hombre y del Ciudadano, emanadade la Revolución francesa, pero olvidó aplicarla",Maximilien de Robespierre *,Jean Paul Marat,Georges Jacques Danton
,,,,,,
T043,3,Geografía Universal,Una de las 17 comunidades autónomas de España está en África y es un archipiélago. ¿Cómo se llama?,Azores,Canarias *,Baleares
,,,,,,
T043,4,"Artes, Deportes y Entretenimientos","Eran tres hermanas escritoras: Charlotte, de la novela Jane Eyre; Emily de Cumbres Borrascosas y Anne de Agnes Grey. ¿Su apellido'",Harris,Brontë *,West
,,,,,,
T043,5,Ciencias y Tecnología,"Descubrió como detener un elevador de carga en caso de rotura de cables, y con ello inventó el ascensor de personas",Elisha Graves Otis *,Oskar Schindler,Werner von Siemens
,,,,,,
T043,6,Cultura General,"La diéresis son dos puntos que se enciman en la u para que suene, pero solo en algunos casos, cuando va precedida de la letra...",Q,G *,K
,,,,,,
T044,1,México,"¿Qué famoso libro escribió Francisco I Madero, sobre la delicada situación política del país, por la dictadura de Porfirio Díaz ?",Los sentimientos de la nación,Cartas de relación,La sucesión presidencial *
,,,,,,
T044,2,Historia Universal,Su gran imperio se extendió desde Grecia hasta Egipto y la India. Fue rey a los 20 años y murió a los 33,Carlomagno,Solimán el magnífico,Alejandro Magno *
,,,,,,
T044,3,Geografía Universal,"La población de Japón es casi la misma que la nuestra, pero su territorio solo la quinta parte del nuestro.¿Cuántos miles de Kms.cuadrados mide aproximadamente ?",800,400 *,600
,,,,,,
T044,4,"Artes, Deportes y Entretenimientos",Se dio a conocer en Un tranvía llamado deseo; escandalizó en El último tango en París y sorprendió al ganar el oscar con El Padrino...,Marlon Brando *,Al Pacino,Robert De Niro
,,,,,,
T044,5,Ciencias y Tecnología,"Descubrió la dinamita buscando un método seguro para el manejo de la nitroglicerina, luego de que una explosión mató a su hermano...",Samuel Colt,Roger Bacon,Alfred Nobel *
,,,,,,
T044,6,Cultura General,¿Los hispanohablantes de qué país representan más del 25% del total de hispanohablantes del mundo?,Arentina,España,México *
,,,,,,
T045,1,México,¿En qué programa de Leo Zuckermann se hacen severas críticas a los políticos de todos los partidos?,Estrictamente personal,"Si me dicen, no vengo",Es la hora de opinar *
,,,,,,
T045,2,Historia Universal,Gobernante británico que mantuvo en alto la moral de su pueblo durante las 57 noches seguidas de bombardeos nazis sobre Londres,Harold Wilson,Neville Chamberlain,Winston Churchill *
,,,,,,
T045,3,Geografía Universal,"Barcelona es, después de Madrid, la principal ciudad española. ¿De qué comunidad autónoma es capital?",Andalucía,Galicia,Cataluña *
,,,,,,
T045,4,"Artes, Deportes y Entretenimientos",¿Qué país inauguró el Mundial de 2018 con una goleada de 5-0 a Arabia Saudita?,Alemania,Francia,Rusia *
,,,,,,
T045,5,Ciencias y Tecnología,"¿Qué ave es el animal mas rápido que existe,pues volando en picada puede desplazarse a mas de 300 kms/h?",Buitre,Condor,Halcón *
,,,,,,
T045,6,Cultura General,"Iglesia laica que prohibe el té, el tabaco y el  alcohol, pero permite que sus miembros varones contraigan nupcias con varias mujeres a la vez, pues su fundador dejó 19 viudas cuando fué linchado en 1844.",Luterana,Bautista,Mormona *
,,,,,,
T046,1,México,Qué estado de la República que se basta a sí mismo para poner a México como el principal productor mundial de aguacate ?,Oaxaca,Veracruz,Michoacán *
,,,,,,
T046,2,Historia Universal,"Primer ministro inglés en tiempos de Victoria I, que duró mas de tres décadas y contribuyó a la expansión imperial de su país.",Benjamín Netanyahu,Benjamin Disraeli *,Richard Benjamín
,,,,,,
T046,3,Geografía Universal,Para que una tormenta tropical se convierta en huracán necesita tener vientos de mas de...¿cuántos kilómetros por hora ?,180,120 *,150
,,,,,,
T046,4,"Artes, Deportes y Entretenimientos","¿Qué equipo de la NBA logró, por primera vez en la historia, regresar de un 3-1 en contra de la serie de campeonato para coronarse en la temporada 2015-2016 ?",Warriors de Golden State,Cavaliers de Cleveland *,Spurs de San Antonio
,,,,,,
T046,5,Ciencias y Tecnología,Esta compañía convirtió a Jeff Bezos en 2017 en la primera persona con una fortuna superior a 100 millones de dólares.,Google,Spotify,Amazón *
,,,,,,
T046,6,Cultura General,"El trabajador produce mas de lo que gana y el beneficio , o plusvalía, se le queda al patrón, ¿quien lo dijo en su libro El Capital?",Lenin,Karl Marx *,Adolf Hitler
,,,,,,
T047,1,México,Checo Pérez tardó una década en ganar su primera carrera de Fórmula I. ¿En qué Gran Premio lo logró en 2020?,Sakhir *,Imola,Portugal
,,,,,,
T047,2,Historia Universal,"¿Qué médico, arquitecto y astrónomo egipcio es el primer científico que registra la historia de la humanidad?",Rudamón,Seti,Imhotep *
,,,,,,
T047,3,Geografía Universal,Es el país africano más desarrollado económicamente y uno de los mayores productores de oro y diamantes,Egipto,Sudáfrica *,Nueva zelanda
,,,,,,
T047,4,"Artes, Deportes y Entretenimientos","¿Qué país dio a Europa, por primera vez en la historia del Mundial, un campeonato celebrado en América con un mísero gol?",España,Alemanía *,Italia
,,,,,,
T047,5,Ciencias y Tecnología,Septigentésimo es el ordinal de...,70,700 *,"7,000"
,,,,,,
T047,6,Cultura General,"En la tragedia griega, convenció a su hermano de matar a la madre de ambos, y al amante de ésta, para vengar el asesinato de su padre",Medea,Penélope,Electra *
,,,,,,
T048,1,México,"México es un país de grandes ríos, ni los que tiene riegan equitativamente todo el territorio nacional, cuál es el más largo?",Bravo *,Usumacinta,Pánuco
,,,,,,
T048,2,Historia Universal,¿Cuántas colonias inglesas en América se independizaron de la Gran Bretaña para constituir los EE.UU. ?,13 *,26,21
,,,,,,
T048,3,Geografía Universal,"País africano fundado en 1822 por un grupo de ex esclavos de EE.UU., que a su llegada esclavizaron a los habitantes  nativos",Costa de Marfil,Sierra Leona,Liberia *
,,,,,,
T048,4,"Artes, Deportes y Entretenimientos","En Las mil y una noches, ¿qué mujer cuenta a su marido un cuento cada noche para evitar que la mate ?",Scherezada *,Semíramis,Salomé
,,,,,,
T048,5,Ciencias y Tecnología,Animales mamíferos cuya principal peculiaridad son dos grandes dientes incisivos en cada maxilar...,Roedores *,Quelonios,Gasterópodos
,,,,,,
T048,6,Cultura General,"¿En qué Emirato Árabe se inauguró en 2010 el edificio Burj Khalifa, cuya altura casi duplica la de las extintas Torres Gemelas ?",Qatar,Dubai *,Abu Dhabi
,,,,,,
T049,1,México,"¿Qué virrey gobernaba la Nueva España al estallar la Guerra de Independencia y aunque le atizó duro a los insurgentes, fue acusado de tibio?",Juan Ruiz de Apodaca,Fco. Javier Venegas *,Félix Ma. Calleja
,,,,,,
T049,2,Historia Universal,Pedro el Grande convirtió a su país en una gran potencia  europea en el siglo XVII.¿Que país fue?,Suecia,Rusia *,Inglaterra
,,,,,,
T049,3,Geografía Universal,¿En qué regiones de la Tierra la temperatura puede subir hasta 50 grados centigrados en el día y bajar a cero por las noches?,Estepas,Desiertos *,Sabanas
,,,,,,
T049,4,"Artes, Deportes y Entretenimientos",¿Qué película desbancó por unos meses a Avatar como la mas taquillera de todos los tiempos?,Avengers: Endgame *,Frozen 2,Star Wars: Episodio IX
,,,,,,
T049,5,Ciencias y Tecnología,"El Sistema Solar tiene mas de 150 satélites naturales, y solo dos planetas carecen de ellos:Mercurio y...",Marte,Venus *,Neptuno
,,,,,,
T049,6,Cultura General,"¿Qué iglesia cristiana hizo las paces con la católica en 2016, después de un milenio de ruptura (cisma) entre ambas?",Ortodoxa *,Copta,Protestante
,,,,,,
T050,1,México,"De los ríos mexicanos que desaguan en el Pacífico, el principal es el Lerma, que desemboca con el nombre de...",Pedro,Santiago *,Rafel
,,,,,,
T050,2,Historia Universal,"En el calendario egipcio, el año solar estaba dividido en 12 meses de 30 días, mas cuantos epogómenos ?",20,5 *,12
,,,,,,
T050,3,Geografía Universal,"América y África tienen en común que el sur de su territorio termina en un cabo, llamado respectivamente Cabo de Hornos y Cabo...",Cañaveral,Verde,De buena Esperanza *
,,,,,,
T050,4,"Artes, Deportes y Entretenimientos","¿Cuántos mundiales de futbol ha ganado Alemania, contando el que dejamos que nos quitara en América?",4 *,5,3
,,,,,,
T050,5,Ciencias y Tecnología,"Es bueno conocer por su nombre a los vecinos, ¿cómo se llama la galaxia  espiral más próxima a la nuestra ?",Andrómeda *,Auriga,Casiopea
,,,,,,
T050,6,Cultura General,"¿Qué general nazi fue el último prisionero de la Torre de Londres, donde estuvieron recluidos también Ana Bolena, Tomas Moro y Walter Raleigh ?",Rudolf Hess *,Heinrich Himmler,Hermann Goering
,,,,,,
T051,1,México,"¿Que mar es solo nuestro y contiene las principales islas mexicanas como la de Tiburón, que es la mayor?",Caribe,Golfo de México,Golfo de California *
,,,,,,
T051,2,Historia Universal,"¿El calendario de qué antigua civilización dividía el año en tres estaciones ,llamadas:Inundación, Siembra y Recolección?",Hindú,Egipcio *,Babilonio
,,,,,,
T051,3,Geografía Universal,"País respetado por su neutralidad y pacifismo que es sede de la Cruz Roja Internacional, el Comité Olímpico Internacional, La FIFA, etc...",Suiza *,Holanda,Noruega
,,,,,,
T051,4,"Artes, Deportes y Entretenimientos","Este compositor adoptó al gracioso Fígaro, creado por Beaumarchais, como protagonista de su ópera Las bodas de Fígaro...",Johann Strauss,Wolfgang Amadeus Mozart *,Johann Sebastian Bach
,,,,,,
T051,5,Ciencias y Tecnología,¿Qué nombre común recibe la sustancia colorante de casi todos los tejidos animales y vegetales?,Tinte,Pigmento *,Barniz
,,,,,,
T051,6,Cultura General,"¿Qué pirámide es la tumba más grande del mundo, aunque probablemente fue saqueada al dia siguiente de que enterraron al finadito?",Keops *,Kefrén ,Micerino
,,,,,,
T052,1,México,¿Quién ha sido el único fotógrafo mexicano que ha ganado tres óscares consecutivos ?,Rodrigo Prieto,Emmanuel Lubezki *,Gabriel Figueroa
,,,,,,
T052,2,Historia Universal,"¿Que continente fue bautizado con el nombre que ostenta por el cartógrafo alemán Martin Waldsemüller, en 1507?",Oceanía,África,América *
,,,,,,
T052,3,Geografía Universal,"El simún es un viento fuerte cuyo nombre significa 'viento venenoso', en cual de estos lugares sopla?",Desierto del Sahara *,Selva del Amazonas,Región Antártica
,,,,,,
T052,4,"Artes, Deportes y Entretenimientos","Rúbens, el célebre artista flamenco, pintó en 1635 este hermoso cuadro donde abundan las lonjas y la celulitis...",La venus en el espejo,El jardín de las delicias,Las tres gracias *
,,,,,,
T052,5,Ciencias y Tecnología,"Es el médico mas importante de la antiguedad, el padre de la medicina y el autor del célebre Juramento Médico... ",Galeno,Hipócrates *,Maimónides
,,,,,,
T052,6,Cultura General,"Makeda, la famosa Reina de Saba, fue a Jerusalén atraida por la fama y sabiduría de este rey, y tuvo un hijo con él ...",David,Salomón *,Moisés
,,,,,,
T053,1,México,"¿Qué votación del Congreso de la unión se requiere para reformar La Constitución, más su aprobación en la mayoría de las legislaturas de los estados?",La mitad mas uno,Dos tercios*,Tres cuartas partes
,,,,,,
T053,2,Historia Universal,"¿La historia de qué ilustre civilización comienza en los años 1,200 a C. y termina en el 146 d C. a causa de los romanos?",Griega*,Fenicia,Egipcia
,,,,,,
T053,3,Geografía Universal,"Capital de Suiza, cuyo emblema es el oso, por lo cual mantiene una fosa llena de osos desde 1513.( No los mismos, claro)",Ginebra,Berna*,Lucerna
,,,,,,
T053,4,"Artes, Deportes y Entretenimientos","Ópera de Puccini sobre el drama amoroso de una geisha y un marino americano, que termina cuando ella se hace el harakiri en su modalidad femenina.",Madame Pompadour,Madame Bovary,Madame Butterfly*
,,,,,,
T053,5,Ciencias y Tecnología,"El Invertebrado mas grande  que existe  llega a medir hasta 18 metros y es un molusco muy sabroso al ajillo, ¿Cómo se llama?",Lenguado,Calamar*,Mantarraya
,,,,,,
T053,6,Cultura General,"Podré no estar de acuerdo con lo que dices, pero defendería con mi vida tu derecho a decirlo.¿Quién lo dijo, sin exponer el físico?",Voltaire*,Moliére,Chevalier
,,,,,,
T054,1,México,"Mar mexicano que mide 1,200 kilómetros de largo por 240 kilómetros de ancho, donde desembocan los ríos Colorado, Yaqui y Mayo.",Golfo de Tehuantepec,Mar Caribe,Golfo de California*
,,,,,,
T054,2,Historia Universal,"Rey inglés que dejó el trono para dirigir la Tercera Cruzada, donde ejecutó a 2,700 prisioneros sarracenos.",Dionisio el Exiguo,Felipe el Hermoso,Ricardo Corazón de León*
,,,,,,
T054,3,Geografía Universal,"Es europea, pequeña, montañosa, lacustre, bonita y se llama oficialmente Confederación Helvética.",Suecia,Dinamarca,Suiza*
,,,,,,
T054,4,"Artes, Deportes y Entretenimientos",¿Qué actor interpretó magistralmente al Guasón en Batman:El Caballero de la Noche?,Aaron Eckhart,Gary Oldman,Heath Ledeger*
,,,,,,
T054,5,Ciencias y Tecnología,"Este organismo unicelular era el animal más simple,hasta que fue desconocido como tal y enviado al Reino Protista",Plancton,Bacilo,Amiba*
,,,,,,
T054,6,Cultura General,"El acento escrito de las palabras se llama ortográfico, ¿Cómo se llama el palito que lo indica?",Capelo,Tilde*,Cofia
,,,,,,
T055,1,México,"En sus mejores tiempos, la Nueva España llegó a tener el doble del territorio actual de México, o sea, cuántos millones de kilómetros cuadrados ?",3,4 *,6
,,,,,,
T055,2,Historia Universal,"Recorrer el Río Amazonas de punta a punta es toda una hazaña, quién lo hizo por primera vez en 1542, en un viaje de 6 meses ?",Vasco de Gama,Enrique El Navegante,Francisco de Orellana *
,,,,,,
T055,3,Geografía Universal,"El lago más grande de Suiza, tiene a sus orillas dos ciudades: Lausana y la que le da nombre...",Ginebra *,Génova,Niza
,,,,,,
T055,4,"Artes, Deportes y Entretenimientos","Compuso más de 600 obras, entre ellas 44 sinfonías, 25 conciertos, 22 óperas y su bello Réquiem... y sólo vivió 35 años",Mozart *,Beethoven,Bach
,,,,,,
T055,5,Ciencias y Tecnología,"Metal descubierto por Pierre y Marie Curie,cuyo nombre significa rayo, y se usa para destruir cierto tipo de células cancerosas...",Neón,Radio *,Litio
,,,,,,
T055,6,Cultura General,Genio es 1% de ispiración y 99% de transpiración. ¿de qué célebre inventor norteamericano es esta frase ?,Samuel Morse,Benjamín Franklin,Thomas Alva Edison *
,,,,,,
T056,1,México,¿En qué estado de la república se encuentra el centro geográfico de nuestro país?,Durango,Zacatecas *,San Luis Potosí
,,,,,,
T056,2,Historia Universal,"Constantino I El Grande tuvo tres hijos, Constantino, Constancio y Constante, de los tres no se hacía uno, quién de ellos fue emperador de Roma?",Los tres *,Ninguno,Constante
,,,,,,
T056,3,Geografía Universal,"Chile y Argentina tienen una frontera común de mas de 3,500 kms.,qué accidente geográfico separa sus respectivos territorios?",La selva del Amazonas,La Tierra de Fuego,La cordillera de los Andes *
,,,,,,
T056,4,"Artes, Deportes y Entretenimientos",¿Quién fue el primer jugador de la liga española que anotó a todos los equipos que enfrentó en una temporada ?,Hugo Sánchez,Lionel Messi,Cristiano Ronaldo *
,,,,,,
T056,5,Ciencias y Tecnología,"La enseñanza de la geometría plana en las escuelas secundarias, se basa en los dos primeros libros de este señor, escritos hace 2,300 años...",Euclides *,Demóstenes,Eurípides
,,,,,,
T056,6,Cultura General,Es una ciencia nada exacta pero trata de conocer y entender todo aquello que afecta nuestro bolsillo...,Contaduría,Administración,Economía *
,,,,,,
T057,1,México,"Hablando de lagunas, Tequesquitengo pertenece a Morelos, Yuriria a Guanajuato,Catemaco a Veracruz y Tamiahua a...",Veracruz *,Tabasco,Tamaulipas
,,,,,,
T057,2,Historia Universal,"Isabel II ha sido reina de Inglaterra más de 65 años, Ramsés II fue faraón durante 67 años, quién estuvo en el trono de Francia durante 72 años?",Francisco I,Carlomagno,Luis XIV *
,,,,,,
T057,3,Geografía Universal,"Bélgica es un país desrrollado cuyos habitantes hablan tres idiomas oficiales, flamenco, alemán y...",francés *,Italiano ,inglés
,,,,,,
T057,4,"Artes, Deportes y Entretenimientos","¿Qué campeonato anual de Fórmula I obtuvo el piloto británico Lewis Hamilton en 2020, empatando a Michael Schumacher?",5 to. ,6 to.,7 mo. *
,,,,,,
T057,5,Ciencias y Tecnología,"El nombre griego de este metal duro y brillante significa color, por las múltiples tonalidades de sus compuestos",Cromo *,Cadmio,Bismuto
,,,,,,
T057,6,Cultura General,"Ganó la batalla, pero perdió la vida. Cómo se llama en retórica este contrasentido que recuerda al almirante Ignacio Nelson ?",Paradoja *,Elipsis,Metáfora
,,,,,,
T058,1,México,Es un río enteramente tabasqueño que nace en Chiapas con el nombre de Grande de Chiapa...,Balboa,Grijalva *,Alvarado
,,,,,,
T058,2,Historia Universal,¿En qué ciudad logró Martin  Luther king eliminar la discriminación racial en el transporte público tras un boicot de 381 dias al servicio de autobuses?,"Mongomery, Alabama *","Chicago, Illinois","Buffalo, Nueva York"
,,,,,,
T058,3,Geografía Universal,"La superficie de Oceanía suma unos 9 millones de kilómetros cuadrados, equivalente al tamaño de...",Rusia,Brasil,Estados unidos *
,,,,,,
T058,4,"Artes, Deportes y Entretenimientos","Hasta 2021, Meryl Streep lleva 21 nominaciones al Oscar, y contando, cuántas veces lo ha ganado, aunque merecía al menos dos más?",4,5,3 *
,,,,,,
T058,5,Ciencias y Tecnología,"El movimiento de rotación de la tierra, no dura exactamente 24 horas, sino 23 y cuántos minutos ?",56 *,21,9
,,,,,,
T058,6,Cultura General,"Los tres más grandes pintores italianos fueron coetáneos, o sea...",de la misma época *,del mismo país,del mismo estilo
,,,,,,
T059,1,México,¿En cuántas entidades federativas se divide la honorable República Mexicana. a la que a menudo deshonramos con nuestros actos ?,29,30,32*
,,,,,,
T059,2,Historia Universal,"Electricista de los astilleros de Gdanks que enfrentó al comunismo en Polonia, ganó el premio Nobel de la Paz y llegó a ser presidente de su país",Carol Wojtyla,Lech Walesa*,Alexandr Popov
,,,,,,
T059,3,Geografía Universal,"¿Qué país tiene menos de mil habitantes, ninguno de ellos nacido en su territorio ?",Mónaco,Antártida,Vaticano* 
,,,,,,
T059,4,"Artes, Deportes y Entretenimientos","En 1820 fue hallada esta estatua de mármol blanco, la mas célebre de la Antigüedad, en una isla griega del Mar Egeo, cuyo nombre es… ",El Zeus Olímpico,La Venus de Milo*,La Victoria de Samotracia
,,,,,,
T059,5,Ciencias y Tecnología,La abeja reina vive 25 veces mas que la obrera y duplica a ésta  su tamaño debido a que se alimenta solamente de…,Miel,Polen,Jalea real*
,,,,,,
T059,6,Cultura General,"Después de mí, el diluvio' dijo este rey francés, no se inundó el país a su muerte, pero quince años después, estalló la revolución.",Luis XIV,Luis XV *,Luis XVI
,,,,,,
T060,1,México,Chihuahua es el estado más grande del país; cuál es su superficie si consideramos que ocupa la octava parte del territorio nacional en  kms. cuadrados?,"350,000","250,000 *","400,000"
,,,,,,
T060,2,Historia Universal,"Gracias a la piedra de Rosetta, descubierta cerca del Nilo en 1799, pudo ser descifrada la escritura egipcia por el arqueólogo francés...",André Gide,Jean Clottes,Jean Francois Champollion *
,,,,,,
T060,3,Geografía Universal,¿En qué país viven 25 millones de habitantes  que representan casi el 70% de la población del continente al que pertenece?,Indonesia,Nueva Zelanda,Austrlia *
,,,,,,
T060,4,"Artes, Deportes y Entretenimientos","Tras la muerte de Diego Armando Maradona en 2020,el estadio de qué ciudad italiana fue rebautizado con su nombre?",Turín,Florencia,Nápoles *
,,,,,,
T060,5,Ciencias y Tecnología,"¿En qué sistema reproductivo animal la hembra no requiere del macho para nada, ni siquiera para que la mantenga?",En la partenogénesis *,En la esporulación,En la poliembrionía
,,,,,,
T060,6,Cultura General,¿De qué país son originarios los gatos de angora?,Grecia ,Turquía *,Irán
,,,,,,
T061,1,México,¿Que virrey de la Nueva España ayudó a EE.UU a ganar su Guerra de Independencia  y luego desfiló triunfalmente a la derecha de George Washinton?,Antonio de Mendoza,Bernardo de Gálvez *,José de Iturrigaray
,,,,,,
T061,2,Historia Universal,En el territorio actual de qué páís de América tuvieron los rusos una colonia que le vendieron en 1867?,EE.UU. *,Canadá,Belice
,,,,,,
T061,3,Geografía Universal,"El idioma oficial de China se llama putonghua, aunque nosotros lo conocemos con un nombre mas elegante...",Mandarín *,Pequinés,Manchú
,,,,,,
T061,4,"Artes, Deportes y Entretenimientos","Los antiguos obeliscos que lucen París, Londres y el Vaticano, de hasta 25 metros de altura, fueron hábilmente sustraídos de...",Irak,Grecia,Egipto *
,,,,,,
T061,5,Ciencias y Tecnología,¿Qué vías usa la sangre para volver al corazón después de circular por todo el organismo?,Las arterias,Las venas *,los vasos capilares
,,,,,,
T061,6,Cultura General,"El corazón tiene razones que la razón no conoce. Hay que reconocer, de todo corazón que quien lo dijo, tiene toda la razón, quién fue ?",Blaise Pascal *,René Descartes,Immanuel kant
,,,,,,
T062,1,México,"Es el estado mas poblado del país donde, en apenas el 1% del territorio nacional, vive la octava parte de sus habitantes...",Jalisco,Veracruz,Estado de México *
,,,,,,
T062,2,Historia Universal,¿Quién fue el primer presidente de la República de Rusia(1991-1999)?,Leonid Breshnev,Mijail Gorbachov,Boris Yeltsin  *
,,,,,,
T062,3,Geografía Universal,"Este país resolvió su problema de espacio, robándole tierra al mar, con lo que aumentó su tamaño en un 17%...",Indonesia,Perú,Holanda *
,,,,,,
T062,4,"Artes, Deportes y Entretenimientos","En la película Nace una estrella, quién es el dIrector, coprotagonista y creador de la estrella ?",Jude Law,Ryan Gosling,Bradley Cooper *
,,,,,,
T062,5,Ciencias y Tecnología,¿Qué ha estado haciendo el Universo desde su nacimiento?,Contrayéndose,Expandiéndose *,Ambas cosas
,,,,,,
T062,6,Cultura General,"Lengua hablada cotidianamente por unos  310 millones de musulmanes, cuyo alfabeto es el más usado en el mundo...",Árabe *,Hindi,Hebreo
,,,,,,
T063,1,México,"El primer virrey de la Nueva España, designado por Carlos V en 1535, fue el Segundo Conde de Tendilla, el excelentísimo Don Antonio de ...",Velasco,Zúñiga,Mendoza *
,,,,,,
T063,2,Historia Universal,"El Cisma de Oriente se produjo en 1054 cuando el Papa León IX y el Patriarca de Constantinopla Miguel I Cerulario, mutuamente se...",Insultaron,Golpearon,Excomulgaron *
,,,,,,
T063,3,Geografía Universal,"El río Yangzi Jiang o Yang Tsé-kiang desemboca cerca de la ciudad más populosa de China,cuál es?",Hong Kong,Shanghai *,Beijing
,,,,,,
T063,4,"Artes, Deportes y Entretenimientos","¿Qué escritor latinoamericano ganó merecidamente el Premio Nobel de Literatura en 2010, consistente en un millón de dólares?",Carlos Fuentes,Gabriel García Márquez,Mario vargas Llosa *
,,,,,,
T063,5,Ciencias y Tecnología,¿ Qué partes de nuestro cuerpo estan formadas por células muertas ?,Los cartílagos,Los dientes,Las uñas *
,,,,,,
T063,6,Cultura General,¿Qué letra no es castellana pero figura en nuestro alfabeto al servicio exclusivo de palabras extranjeras ?,La X,La W *,La K
,,,,,,
T064,1,México,"¿A qué territorios dimos la bienvenida en la Federación en 1974, en tiempos de Luis Echeverría Álvarez?",Chiapas y Tlaxcala,Campeche y Colima,Quintana Roo y Baja California Sur *
,,,,,,
T064,2,Historia Universal,"Duque inglés que venció definitivamente a Napoleón Bonaparte en la batalla de Waterloo, en 1815, con ayuda del ejército prusiano ...",Duque de Cumberland,Duque de Edimburgo,Duque de Wellington *
,,,,,,
T064,3,Geografía Universal,¿Cómo se llaman los ríos que desembocan en otro mayor?,Deltas,Afluentes *,Cuencas
,,,,,,
T064,4,"Artes, Deportes y Entretenimientos","Se fue en 2018, pero dejó su gran obra histórica Noticias del Imperio, considerada en 2007 como la mejor novela mexicana de los últimos 30 años...",Sergio Pitol,Fernando del Paso *,José Emilio Pacheco
,,,,,,
T064,5,Ciencias y Tecnología,"Hay tantas galaxias en el Universo observable, que si se repartieran entre los humanos nos tocarian aproximadamente , 15 por cabezza, cuántos millones son ?","100,000*","20,000","30,000"
,,,,,,
T064,6,Cultura General,"¿Qué título nobiliario ostentaba el fallecido príncipe Felipe, esposo de Isabel II de Gran Bretaña ?",Príncipe de Gales,Duque de Edimburgo *,Conde de York
,,,,,,
T065,1,México,"Escritor maderista y frustrado contendiente a la presidencia de México, autor de las obras autobiográficas Ulises Criollo, La tormenta y El desastre...",Nemesio García Naranjo,José Vasconcelos *,José Revueltas
,,,,,,
T065,2,Historia Universal,"¿Quién escribió el libro Relación del primer viaje alrededor del mundo, despues de acompañar a Magallanes en su histórica travesía ?",Vasco de Gama,Antonio Pigafetta*,Américo Vespucio
,,,,,,
T065,3,Geografía Universal,"¿Qué isla de China, llamada Formosa en portugués, es la mas grande de ese país ?",Taiwan *,Macao,Cantón
,,,,,,
T065,4,"Artes, Deportes y Entretenimientos",A sus 83 años se convirtió en 2021 en la persona de mayor edad en ganar un Oscar de actuación...,Harrison Ford,Clint Eastwood,Anthony Hopkins *
,,,,,,
T065,5,Ciencias y Tecnología,"Igual que su madre Marie, Iréne Joliot-Curie murió por una enfermedad resultante del oficio de su profesión, qué enfermedad fue ?",Tuberculosis,Hepatitis,Cáncer *
,,,,,,
T065,6,Cultura General,"¿Qué trastorno mental es típico de quienes ostentan el poder económico o político, y surge cuando empiezan a creer que lo pueden todo?",Misantropía,Psicopatía,Megalomanía *
,,,,,,
T066,1,México,"Los médanos de Samalayuca recuerdan las dunas del Sahara, por lo que no se pueden visitar sin una rebosante cantimplora, en qué estado se ubican ?",Sonora,Chihuahua *,Coahuila
,,,,,,
T066,2,Historia Universal,"Los Reyes Católicos tuvieron cinco hijos, a quienes casaron por razones políticas, a qué príncipe austriaco dieron la mano de Juana ?",Francisco Fernando,Fernando José,Felipe *
,,,,,,
T066,3,Geografía Universal,¿Qué península europea habitaban principalmente los belicosos y tragones vikingos?,Escandinava *,Balcanes,Labrador
,,,,,,
T066,4,"Artes, Deportes y Entretenimientos",¿Qué emirato árabe fue elegido para organizar la Copa del mundo a celebrarse en noviembre y  diciembre 2022 ?,Dubai,Abu Dhabi,Qatar *
,,,,,,
T066,5,Ciencias y Tecnología,"Son figuras geométricas cerradas, de dos dimensiones, que se clasifican por su número de lados, como el triángulo, el cuadrado, el rombo, etc.",Polígonos *,Poliedros,Prismas
,,,,,,
T066,6,Cultura General,A veces nos gusta lo que escuchamos sólo por lo convincente que suenan las palabras del orador. Cómo se llama esto que es la base de la demagogía?,Elocuencia *,Concordancia,Reminiscencia
,,,,,,
T067,1,México,"¿Qué estado tiene 570 municipios que representan casi la cuarta parte del total nacional, aunque su territorio equivale  a menos del 5% del total ?",Estado de méxico,Chihuahua,Oaxaca *
,,,,,,
T067,2,Historia Universal,"Alrededor del año 600 a.C sobresalieron en Grecia dos importantes ciudades  que vivían como perros y gatos. Una fue Atenas, la otra...",Esparta *,Creta,Corinto
,,,,,,
T067,3,Geografía Universal,Se llaman arabes los 21 países de esta lengua situados en Asia y África.Cuál de estos tres está en la lista ?,Siria *,Irán,Turquía
,,,,,,
T067,4,"Artes, Deportes y Entretenimientos","Muy pocos pueden darse el lujo de tomarse una copa con el mismísimo Baco, como los que aparecen pintados con él en el célebre cuadro de...",Velazquez *,Rembrandt,miguel Ángel
,,,,,,
T067,5,Ciencias y Tecnología,¿Qué antibiotico fue descubierto por accidente buscando un remedio contra la gripe ?,La penicilina *,La terramicina,La tetraciclina
,,,,,,
T067,6,Cultura General,"El libro del Génesis relata desde la creación del Universo hasta la muerte de José, el undécimo hijo del patriarca...",Josué,Jacob *,Jeremías
,,,,,,
T068,1,México,"La ciudad de México es la mas poblada del país, eso no es noticia; pero sí el tamaño de su superficie, cuánto mide ?","1,500 Kms. cuad. *","15,000 Kms. cuad.",150 Kms.cuad.
,,,,,,
T068,2,Historia Universal,"la unión de los reinos de los Reyes Católicos dio vida a España como nación, Fernando aportó el de Aragón e Isabel el de...",Toledo,Sevilla,Castilla *
,,,,,,
T068,3,Geografía Universal,"Cuando el Océano Atlántico entra por el estrecho de Gibraltar,se convierte en un simple mar, cuál?",Mediterráneo *,Rojo,Báltico
,,,,,,
